name,dev0,dev1
Image_w1920_h1200_fn97.jpg,[809.5 645. ],[789.  316.5]
Image_w1920_h1200_fn98.jpg,[828.5 642. ],[802.5 331. ]
Image_w1920_h1200_fn99.jpg,[845.5 640. ],[811. 343.]
Image_w1920_h1200_fn100.jpg,[860.5 639. ],[811. 343.]
Image_w1920_h1200_fn101.jpg,[873. 642.],[814.  368.5]
Image_w1920_h1200_fn102.jpg,[885.  647.5],[810.5 385.5]
Image_w1920_h1200_fn103.jpg,[896. 653.],[802.5 397. ]
Image_w1920_h1200_fn104.jpg,[907.5 658.5],[795. 408.]
Image_w1920_h1200_fn105.jpg,[911.  665.5],[788.5 419.5]
Image_w1920_h1200_fn106.jpg,[922. 668.],[791.  431.5]
Image_w1920_h1200_fn107.jpg,[930. 674.],[788.5 444. ]
Image_w1920_h1200_fn108.jpg,[937.5 677. ],[787. 454.]
Image_w1920_h1200_fn109.jpg,[943.5 682. ],[785.5 463. ]
Image_w1920_h1200_fn110.jpg,[945.5 682. ],[799. 469.]
Image_w1920_h1200_fn111.jpg,[944. 676.],[831. 472.]
Image_w1920_h1200_fn112.jpg,[942. 665.],[863. 469.]
Image_w1920_h1200_fn113.jpg,[937.5 660.5],[878.  463.5]
Image_w1920_h1200_fn114.jpg,[933.  656.5],[884. 458.]
Image_w1920_h1200_fn115.jpg,[929.  653.5],[884. 458.]
Image_w1920_h1200_fn116.jpg,[925. 653.],[880. 448.]
Image_w1920_h1200_fn117.jpg,[922. 649.],[884.  443.5]
Image_w1920_h1200_fn118.jpg,[918.5 641. ],[907.5 440. ]
Image_w1920_h1200_fn119.jpg,[916. 627.],[949.  437.5]
Image_w1920_h1200_fn120.jpg,[914.5 608.5],[1003.  434.]
Image_w1920_h1200_fn121.jpg,[915.5 584. ],[1070.5  431. ]
Image_w1920_h1200_fn122.jpg,[915. 562.],[1127.5  430.5]
Image_w1920_h1200_fn123.jpg,[913.5 545.5],[1174.  433.]
Image_w1920_h1200_fn124.jpg,[908.  537.5],[1199.  433.]
Image_w1920_h1200_fn125.jpg,[906. 540.],[1195.5  434. ]
Image_w1920_h1200_fn126.jpg,[909. 559.],[1168.5  441.5]
Image_w1920_h1200_fn127.jpg,[908.5 585. ],[1119.5  451.5]
Image_w1920_h1200_fn128.jpg,[909.5 614.5],[1054.5  457.5]
Image_w1920_h1200_fn129.jpg,[908.5 636.5],[992. 461.]
Image_w1920_h1200_fn130.jpg,[910.5 648. ],[959. 467.]
Image_w1920_h1200_fn131.jpg,[910.5 655. ],[949.5 473. ]
Image_w1920_h1200_fn132.jpg,[911.5 655.5],[961. 479.]
Image_w1920_h1200_fn133.jpg,[914. 646.],[992.  480.5]
Image_w1920_h1200_fn134.jpg,[915.5 634. ],[1026.5  479. ]
Image_w1920_h1200_fn135.jpg,[919. 621.],[1056.   476.5]
Image_w1920_h1200_fn136.jpg,[924. 616.],[1071.5  476. ]
